"","Site","Type","Mn","Co","Cu","Sr","Ba","La","Pb"
"1","CHR","train",2.49344410873345,0.466867620354109,1.15715443990628,3.22764250593731,0.737987326333431,0.620136054973757,0.527629900871339
"2","CHR","test",1.81577692029836,0.511883360978874,0.665580991017953,3.12131029116749,0.502427119984433,0.0755469613925307,0.133538908370217
"3","CHR","train",2.27521918678215,0.489958479424835,0.77887447200274,3.17772402848192,0.636487896353365,0.428134794028789,0.374748346010104
"4","CHR","train",1.83103748564003,0.754348335711019,0.936513742478893,3.19259811489408,0.472756449317212,0.146128035678238,0.139879086401236
"5","CHR","train",1.62613497863539,0.60422605308447,1.04960561259497,3.23370158309281,0.570542939881898,0.161368002234975,0.330413773349191
"6","CHR","train",1.26834391395106,0.298853076409707,0.838219221907626,3.2010528299926,0.439332693830263,0.0492180226701817,0.0755469613925307
"7","CHR","test",2.32004237547964,1.10856502373283,0.708420900134713,3.39337511851547,0.510545010206612,0.167317334748176,0.262451089730429
"8","CHR","train",2.00556657113329,0.681241237375587,1.12515582958053,3.40301579723272,0.585460729508501,0.117271295655764,0.181843587944773
"9","CHR","train",2.17108257735753,0.671172842715083,1.27829620809127,3.45885531945636,0.617000341120899,0.100370545117563,0.311753861055754
"10","CHR","test",2.71367530994715,1.02816441942447,1.77400573025821,2.99969154140208,1.22193559982801,0.152288344383056,0.61066016308988
"11","CHR","train",2.03120641982746,0.404833716619938,1.01283722470517,3.42315081040136,0.65417654187796,0.0718820073061254,0.146128035678238
"12","CHR","train",2.01565309853547,0.33645973384853,1.10890312766731,3.40139709398626,0.624282095835668,0.0530784434834197,0.155336037465062
"13","CHR","train",1.94743372188705,0.340444114840118,0.551449997972875,3.28828276916444,0.589949601325708,0.0293837776852097,0.136720567156407
"14","CHR","train",2.07907265885318,0.474216264076255,1.27067883614471,3.2610795935503,0.666517980554881,0.12057393120585,0.184691430817599
"15","CHR","test",2.49099729401525,0.442479769064449,1.03662889536216,3.19201796585988,0.54282542695918,0.130333768495006,0.257678574869184
"16","CHR","train",1.96510758584906,0.267171728403014,1.06520612805431,3.14963780473376,0.540329474790874,0.0644579892269184,0.100370545117563
"17","CHR","train",1.90617336364405,0.369215857410143,1.2145789535705,3.03696805545898,0.531478917042255,0.123851640967086,0.161368002234975
"18","CHR","test",1.8980117387975,0.755112266395071,0.986323777050765,3.04915985433535,0.64640372622307,0.12057393120585,0.342422680822206
"19","DB","test",2.68902456520501,0.985875357308394,0.56702636615906,3.30680875285391,0.679427896612119,0.0755469613925307,0.271841606536499
"20","DB","train",2.7034461485706,0.287801729930226,0.939519252618618,3.37813797334316,0.521138083704036,0.123851640967086,0.281033367247728
"21","DB","train",3.74164079124297,0.613841821876069,1.21192108430851,3.58507138205726,1.0386201619497,0.257678574869184,0.561101383649056
"22","DB","train",2.72460351539672,0.418301291319745,1.22788670461367,3.10761692999178,0.729974285699556,0.117271295655764,0.257678574869184
"23","DB","train",2.94200308962844,0.404833716619938,1.07077646284343,3.44673438766249,0.798650645445269,0.267171728403014,0.225309281725863
"24","DB","train",3.26989336895158,0.644438589467838,1.62889956442061,3.43387379621836,0.887054378050957,0.589949601325708,0.346352974450639
"25","DB","test",3.29670466978357,0.423245873936808,1.17435059747938,3.30610106246836,0.86391737695786,0.779596491257824,0.324282455297693
"26","DB","test",1.96189547366785,0.3654879848909,0.789580712164425,3.37719146848359,0.688419822002711,0.0569048513364726,0.303196057420489
"27","DB","train",1.95114316010755,0.252853030979893,0.643452676486187,3.44503099229381,0.676693609624867,0.100370545117563,0.350248018334163
"28","DB","train",2.05053441954012,0.392696953259666,0.966610986681934,3.55950684230632,0.911690158753861,0.176091259055681,0.198657086954423
"29","DB","test",2.1131073665205,0.271841606536499,1.15289959639375,3.47421626407626,0.80413943233535,0.146128035678238,0.749736315569061
"30","DB","train",2.06486962505981,0.313867220369153,0.974971994298069,3.48632419476974,0.838849090737255,0.204119982655925,0.255272505103306
"31","DB","train",2.15097123206261,0.209515014542631,0.696356388733332,3.49972693692884,0.658964842664435,0.164352855784437,0.133538908370217
"32","DB","train",1.88479536394898,0.161368002234975,0.471291711058939,3.20039627522543,0.57287160220048,0.0334237554869497,0.107209969647868
"33","DB","train",2.15554857715353,0.252853030979893,0.705863712283919,3.23182625864728,0.592176757395867,0.0334237554869497,0.230448921378274
"34","DB","train",1.8441664104502,0.220108088040055,0.909020854211156,3.2738111993994,0.79309160017658,0.127104798364808,0.0606978403536116
"35","DB","train",1.97922959302216,0.4983105537896,0.813580988568192,3.56314989859965,0.858537197569639,0.0606978403536116,0.469822015978163
"36","DB","test",2.32372636715535,0.301029995663981,0.9237619608287,3.6122973863954,0.829303772831025,0.0492180226701817,0.155336037465062
"37","DB","train",2.03670872156989,0.281033367247728,1.12872228433843,3.41910283565249,0.831229693867063,0.0644579892269184,0.24551266781415
"38","DB","test",2.32935719413155,0.247973266361807,0.741939077729199,3.4256173545025,0.592176757395867,0.0492180226701817,0.155336037465062
"39","DB","test",1.6607706435277,0.238046103128795,0.865103974641128,3.29308619804803,0.739572344450092,0.0569048513364726,0.139879086401236
"40","DB","train",1.96066100727098,0.209515014542631,0.739572344450092,3.39712798791611,0.760422483423212,0.0863598306747482,0.117271295655764
"41","DB","train",2.2806466502962,0.269512944217916,0.33645973384853,3.45498807737852,0.574031267727719,0.0530784434834197,0.0969100130080564
"42","DB","train",2.26023839221013,0.292256071356476,0.770852011642144,3.36771923435589,0.981365509078544,0.220108088040055,0.15836249209525
"43","DB","train",1.86480762902615,0.201397124320451,0.79448804665917,3.48690914330941,0.920645001406788,0.0863598306747482,0.684845361644412
"44","DB","train",1.72468538823736,0.20682587603185,0.496929648073215,3.41470600756108,0.86391737695786,0.0530784434834197,0.187520720836463
"45","DB","test",1.92360664301746,0.204119982655925,1.02816441942447,3.46720543822315,0.865696059916071,0.113943352306837,0.212187604403958
"46","DB","test",1.70960912107265,0.198657086954423,0.902546779313991,3.52119171314493,0.802089257881733,0.0791812460476248,0.235528446907549
"47","DB","train",1.89828627858912,0.164352855784437,0.380211241711606,3.38621171899015,0.720985744153739,0.0128372247051722,0.0718820073061254
"48","DB","train",1.91954875896885,0.380211241711606,0.964730921053629,3.46908382443647,0.754348335711019,0.127104798364808,0.212187604403958
"49","DB","train",2.0379043573124,0.225309281725863,0.745074791582057,3.40751497088549,0.810232517995084,0.0791812460476248,0.164352855784437
"50","DB","train",1.92577605383675,0.298853076409707,0.883661435153618,3.42691608882826,0.763427993562937,0.0791812460476248,0.24551266781415
"51","FBE","train",2.59917321735291,1.03181227133037,1.36342393291718,3.20530994640463,0.737987326333431,0.14921911265538,0.587710965018911
"52","FBE","train",3.39350500858996,2.50508211450511,1.75807882224961,2.98159211721408,1.15075643986031,0.530199698203082,1.22141423784234
"53","FBE","test",4.2795880157156,1.94215692846749,2.02156139203735,3.76657419025953,1.4920616045126,0.832508912706236,1.23704079137919
"54","FBE","train",2.89718707658015,1.95279244304409,1.8481891169914,2.36954980166489,1.2143138974244,0.44870631990508,1.34772021703404
"55","FBE","train",2.77307666386157,2.29484083643889,2.07689519386605,2.71560227128193,1.29863478312444,0.589949601325708,1.32283927268632
"56","FBE","train",2.57552267698974,1.55678478230703,1.77786162417624,2.66686415496123,1.13798673272353,0.359835482339888,1.08671566394488
"57","FBE","train",2.82595162709814,1.05804623039528,1.3163897510732,3.10905856713247,0.73559889969818,0.167317334748176,0.600972895686748
"58","FBE","train",4.1049723485874,3.05120270468815,3.03323069281122,3.61977242850887,1.49276038902684,1.12450422483428,1.75534118381155
"59","FBE","train",2.36087729710204,0.582063362911709,2.32252939434146,3.21388681685537,0.600972895686748,0.100370545117563,0.603144372620182
"60","FBE","test",2.9660619091205,1.62859325585126,1.71516735784846,3.03635737645247,1.21058602490516,0.296665190261531,1.19340290306242
"61","FBE","train",3.27721255329211,1.80760266991649,1.44575983648863,3.15593391952845,1.17347764345299,0.340444114840118,0.722633922533812
"62","FBE","train",2.37090150486777,1.73455982157948,1.31281182621209,2.20297846073707,1.3859635706007,0.232996110392154,1.32551566336315
"63","FBE","train",3.14740113238188,1.50866436305294,1.62159167585922,3.0703297622289,1.15136985024746,0.232996110392154,1.07481644064517
"64","FBE","train",2.57415864209508,0.984527313343793,1.21722065564452,3.1221798221399,0.740362689494244,0.110589710299249,0.684845361644412
"65","FBE","train",2.83663421531429,0.912222056532416,1.02077548819356,2.85788104981916,0.653212513775344,0.127104798364808,0.709269960975831
"66","FBE","train",3.00928938641336,1.86326336365048,1.43392976560846,3.23872588184907,1.14736710779379,0.287801729930226,1.04218159451577
